decade,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
-3780,6,1.31,1.225,0.4337280253799609,0.8762719746200391,1.743728025379961
-3770,10,2.1310000000000002,2.185,0.4109730999577575,1.7200269000422428,2.5419730999577577
-3760,10,1.7129999999999999,1.835,0.3495409688275309,1.363459031172469,2.062540968827531
-3750,10,1.228,1.1749999999999998,0.16988885255431627,1.0581111474456837,1.3978888525543163
-3740,10,1.158,1.1099999999999999,0.27899820787954893,0.8790017921204509,1.436998207879549
-3730,10,1.269,1.18,0.27898426877195465,0.9900157312280453,1.5479842687719545
-3720,10,1.206,1.135,0.4438017575449651,0.7621982424550349,1.649801757544965
-3710,10,1.443,1.335,0.3111644795495356,1.1318355204504644,1.7541644795495357
-3700,14,1.3021428571428573,1.3900000000000001,0.37161143005168035,0.9305314270911769,1.6737542871945377
-3690,20,1.193,1.18,0.3525560798989066,0.8404439201010935,1.5455560798989065
-3680,20,1.1555,1.185,0.21249086667678832,0.9430091333232117,1.3679908666767884
-3670,20,1.3255000000000001,1.32,0.3310982522327458,0.9944017477672543,1.656598252232746
-3660,20,1.161,1.0,0.4557457740081808,0.7052542259918193,1.6167457740081808
-3650,26,1.2919230769230767,1.2149999999999999,0.441171342956627,0.8507517339664497,1.7330944198797038
-3640,40,1.2962500000000001,1.1749999999999998,0.3555904263082054,0.9406595736917946,1.6518404263082056
-3630,40,1.4595,1.415,0.34974679485710874,1.1097532051428913,1.8092467948571087
-3620,47,1.2917021276595746,1.12,0.5439841715605502,0.7477179560990244,1.8356862992201248
-3610,50,1.314,1.3050000000000002,0.5091770070317354,0.8048229929682646,1.8231770070317355
-3600,55,1.174909090909091,1.04,0.47638636951950364,0.6985227213895873,1.6512954604285945
-3590,60,1.0836666666666666,0.99,0.3838121303612346,0.6998545363054319,1.4674787970279013
-3580,64,1.3403125,1.28,0.3021350940876698,1.03817740591233,1.64244759408767
-3570,74,1.261756756756757,1.13,0.4968678832917977,0.7648888734649593,1.7586246400485546
-3560,80,1.41625,1.41,0.540101666472695,0.876148333527305,1.956351666472695
-3550,80,1.595,1.525,0.5138610362315497,1.0811389637684503,2.1088610362315494
-3540,86,1.282906976744186,1.23,0.4757578877070335,0.8071490890371527,1.7586648644512195
