decade,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
-4220,1,0.02400000000000002,0.02400000000000002,0.0,0.02400000000000002,0.02400000000000002
-4210,1,-0.3400000000000001,-0.3400000000000001,0.0,-0.3400000000000001,-0.3400000000000001
-4200,1,-0.0029999999999998916,-0.0029999999999998916,0.0,-0.0029999999999998916,-0.0029999999999998916
-4190,1,0.0029999999999998916,0.0029999999999998916,0.0,0.0029999999999998916,0.0029999999999998916
-4180,1,-0.02499999999999991,-0.02499999999999991,0.0,-0.02499999999999991,-0.02499999999999991
-4170,1,-0.02499999999999991,-0.02499999999999991,0.0,-0.02499999999999991,-0.02499999999999991
-4160,1,0.07000000000000006,0.07000000000000006,0.0,0.07000000000000006,0.07000000000000006
-4150,1,-0.2300000000000002,-0.2300000000000002,0.0,-0.2300000000000002,-0.2300000000000002
-4140,1,0.08200000000000007,0.08200000000000007,0.0,0.08200000000000007,0.08200000000000007
-4130,1,0.04299999999999993,0.04299999999999993,0.0,0.04299999999999993,0.04299999999999993
-4120,1,0.028000000000000247,0.028000000000000247,0.0,0.028000000000000247,0.028000000000000247
-4110,1,-0.058000000000000274,-0.058000000000000274,0.0,-0.058000000000000274,-0.058000000000000274
-4100,1,-0.03799999999999981,-0.03799999999999981,0.0,-0.03799999999999981,-0.03799999999999981
-4090,1,0.0,0.0,0.0,0.0,0.0
-4080,1,-0.2250000000000001,-0.2250000000000001,0.0,-0.2250000000000001,-0.2250000000000001
-4070,1,0.2869999999999999,0.2869999999999999,0.0,0.2869999999999999,0.2869999999999999
-4060,1,0.11100000000000021,0.11100000000000021,0.0,0.11100000000000021,0.11100000000000021
-4050,2,0.05700000000000005,0.05700000000000005,0.03676955262170035,0.020230447378299703,0.09376955262170039
-4040,2,0.18999999999999984,0.18999999999999984,0.2460731598529186,-0.056073159852918775,0.43607315985291845
-4030,2,-0.08399999999999985,-0.08399999999999985,0.17253405460951743,-0.2565340546095173,0.08853405460951758
-4020,2,-0.251,-0.251,0.27152900397563434,-0.5225290039756343,0.02052900397563434
-4010,2,0.04099999999999998,0.04099999999999998,0.17253405460951768,-0.1315340546095177,0.21353405460951766
-4000,2,-0.07400000000000001,-0.07400000000000001,0.11313708498984762,-0.18713708498984763,0.03913708498984761
-3990,2,-0.02100000000000002,-0.02100000000000002,0.10040916292848984,-0.12140916292848986,0.07940916292848982
-3980,2,-0.08400000000000002,-0.08400000000000002,0.2121320343559642,-0.29613203435596425,0.12813203435596418
-3970,2,-0.01150000000000001,-0.01150000000000001,0.051618795026618015,-0.06311879502661802,0.040118795026618005
