region,decade,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
Argentina,950,50,0.3502,0.31,0.16480650373534833,0.18539349626465168,0.5150065037353484
Argentina,960,50,0.35600000000000004,0.295,0.22269224668742707,0.13330775331257297,0.5786922466874271
Argentina,970,50,0.2982,0.23,0.22256106706121934,0.07563893293878068,0.5207610670612194
Argentina,980,50,0.31079999999999997,0.22,0.22902490729889033,0.08177509270110964,0.5398249072988903
Argentina,990,50,0.36,0.25,0.3157886143919566,0.044211385608043385,0.6757886143919566
Argentina,1000,50,0.3922,0.245,0.3092802045038757,0.08291979549612427,0.7014802045038757
Argentina,1010,50,0.48460000000000003,0.335,0.3406129528856314,0.1439870471143686,0.8252129528856315
Argentina,1020,56,0.42,0.36,0.23944633105258775,0.18055366894741223,0.6594463310525878
Argentina,1030,60,0.42916666666666664,0.365,0.23467461545988083,0.1944920512067858,0.6638412821265475
Argentina,1040,60,0.4328333333333333,0.305,0.2750352314360352,0.1577981018972981,0.7078685647693685
Argentina,1050,60,0.3718333333333333,0.31,0.2113354764724068,0.1604978568609265,0.5831688098057402
Argentina,1060,60,0.389,0.35,0.22118862262707142,0.1678113773729286,0.6101886226270714
Argentina,1070,61,0.3404918032786885,0.25,0.21928236157602976,0.12120944170265874,0.5597741648547183
Argentina,1080,70,0.5231428571428571,0.395,0.32246578453320746,0.20067707260964968,0.8456086416760646
Argentina,1090,70,0.4958571428571429,0.475,0.1922068093407094,0.30365033351643345,0.6880639521978523
Argentina,1100,71,0.4142253521126761,0.41,0.1526495704156698,0.2615757816970063,0.5668749225283458
Argentina,1110,80,0.3255,0.295,0.15384440602707264,0.17165559397292737,0.4793444060270726
Argentina,1120,80,0.344375,0.28500000000000003,0.18651937660227494,0.15785562339772505,0.5308943766022749
Argentina,1130,80,0.31325,0.27,0.2009142080275603,0.11233579197243967,0.5141642080275602
Argentina,1140,80,0.2895,0.22,0.18074319147846976,0.10875680852153022,0.4702431914784697
Argentina,1150,90,0.3651111111111111,0.375,0.19556454978748838,0.16954656132362272,0.5606756608985994
Argentina,1160,90,0.4605555555555556,0.46,0.21329602318870097,0.24725953236685463,0.6738515787442566
Argentina,1170,90,0.3968888888888889,0.39,0.18870727848656962,0.20818161040231928,0.5855961673754585
Argentina,1180,90,0.36077777777777775,0.355,0.18576430504462935,0.1750134727331484,0.5465420828224071
Argentina,1190,90,0.36211111111111116,0.345,0.1746295883680169,0.18748152274309426,0.5367406994791281
Argentina,1200,90,0.3457777777777778,0.33,0.1552234907637819,0.1905542870139959,0.5010012685415597
Argentina,1210,90,0.3,0.29,0.12047658171434411,0.17952341828565588,0.4204765817143441
Argentina,1220,90,0.43066666666666664,0.41000000000000003,0.23218938415086843,0.19847728251579821,0.6628560508175351
Argentina,1230,90,0.3758888888888889,0.365,0.1543809271305005,0.22150796175838838,0.5302698160193894
Argentina,1240,90,0.39911111111111114,0.4,0.15988510231591868,0.23922600879519246,0.5589962134270299
Argentina,1250,90,0.32955555555555555,0.31,0.1269779341275714,0.20257762142798413,0.45653348968312696
Argentina,1260,90,0.302,0.28,0.15671630419327787,0.14528369580672212,0.45871630419327786
Argentina,1270,90,0.2987777777777778,0.275,0.13304411516213674,0.16573366261564107,0.4318218929399146
Argentina,1280,90,0.26566666666666666,0.22999999999999998,0.14510786379390836,0.1205588028727583,0.410774530460575
Argentina,1290,90,0.28444444444444444,0.255,0.16257140945146598,0.12187303499297847,0.4470158538959104
Argentina,1300,90,0.4285555555555556,0.415,0.1954686739528329,0.23308688160272267,0.6240242295083884
Argentina,1310,99,0.3780808080808081,0.34,0.18749517962607415,0.19058562845473392,0.5655759877068822
Argentina,1320,100,0.3768,0.34,0.21140167139042837,0.16539832860957165,0.5882016713904283
Argentina,1330,100,0.33410000000000006,0.28,0.17552861000216724,0.15857138999783282,0.5096286100021673
Argentina,1340,100,0.3095,0.25,0.18377288904371816,0.12572711095628183,0.49327288904371813
Argentina,1350,110,0.49127272727272725,0.34,0.4319936906838558,0.05927903658887146,0.923266417956583
Argentina,1360,110,0.4787272727272728,0.335,0.4106631671626436,0.06806410556462916,0.8893904398899164
Argentina,1370,110,0.4872727272727273,0.265,0.5002199682945165,-0.012947241021789235,0.9874926955672438
Argentina,1380,113,0.46008849557522125,0.31,0.41506560491604655,0.0450228906591747,0.8751541004912677
Argentina,1390,121,0.3914876033057851,0.22,0.4066420644683003,-0.015154461162515231,0.7981296677740854
Argentina,1400,130,0.43753846153846154,0.265,0.42700337042487607,0.01053509111358547,0.8645418319633376
