region,decade,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
Argentina,450,1,-0.03042222222222235,-0.03042222222222235,0.0,-0.03042222222222235,-0.03042222222222235
Argentina,460,1,0.22110000000000007,0.22110000000000007,0.0,0.22110000000000007,0.22110000000000007
Argentina,470,1,-0.13939999999999997,-0.13939999999999997,0.0,-0.13939999999999997,-0.13939999999999997
Argentina,480,1,-0.13969999999999994,-0.13969999999999994,0.0,-0.13969999999999994,-0.13969999999999994
Argentina,490,1,0.012599999999999945,0.012599999999999945,0.0,0.012599999999999945,0.012599999999999945
Argentina,500,1,-0.08470000000000011,-0.08470000000000011,0.0,-0.08470000000000011,-0.08470000000000011
Argentina,510,1,0.06820000000000004,0.06820000000000004,0.0,0.06820000000000004,0.06820000000000004
Argentina,520,1,0.32720000000000005,0.32720000000000005,0.0,0.32720000000000005,0.32720000000000005
Argentina,530,1,0.0018000000000000238,0.0018000000000000238,0.0,0.0018000000000000238,0.0018000000000000238
Argentina,540,1,-0.4112,-0.4112,0.0,-0.4112,-0.4112
Argentina,550,1,0.00019999999999997797,0.00019999999999997797,0.0,0.00019999999999997797,0.00019999999999997797
Argentina,560,1,-0.0534,-0.0534,0.0,-0.0534,-0.0534
Argentina,570,1,-0.035699999999999954,-0.035699999999999954,0.0,-0.035699999999999954,-0.035699999999999954
Argentina,580,1,0.29990000000000006,0.29990000000000006,0.0,0.29990000000000006,0.29990000000000006
Argentina,590,1,0.3708,0.3708,0.0,0.3708,0.3708
Argentina,600,1,0.04410000000000003,0.04410000000000003,0.0,0.04410000000000003,0.04410000000000003
Argentina,610,1,-0.2815000000000001,-0.2815000000000001,0.0,-0.2815000000000001,-0.2815000000000001
Argentina,620,1,-0.37150000000000005,-0.37150000000000005,0.0,-0.37150000000000005,-0.37150000000000005
Argentina,630,1,0.02959999999999996,0.02959999999999996,0.0,0.02959999999999996,0.02959999999999996
Argentina,640,1,-0.10389999999999988,-0.10389999999999988,0.0,-0.10389999999999988,-0.10389999999999988
Argentina,650,1,0.4422999999999999,0.4422999999999999,0.0,0.4422999999999999,0.4422999999999999
Argentina,660,1,0.1847000000000001,0.1847000000000001,0.0,0.1847000000000001,0.1847000000000001
Argentina,670,1,0.006799999999999917,0.006799999999999917,0.0,0.006799999999999917,0.006799999999999917
Argentina,680,1,-0.23849999999999993,-0.23849999999999993,0.0,-0.23849999999999993,-0.23849999999999993
