year,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
-4227,1,-0.21999999999999997,-0.21999999999999997,0.0,-0.21999999999999997,-0.21999999999999997
-4226,1,-0.030000000000000027,-0.030000000000000027,0.0,-0.030000000000000027,-0.030000000000000027
-4225,1,0.7899999999999998,0.7899999999999998,0.0,0.7899999999999998,0.7899999999999998
-4224,1,0.11000000000000032,0.11000000000000032,0.0,0.11000000000000032,0.11000000000000032
-4223,1,-0.08000000000000007,-0.08000000000000007,0.0,-0.08000000000000007,-0.08000000000000007
-4222,1,0.10000000000000009,0.10000000000000009,0.0,0.10000000000000009,0.10000000000000009
-4221,1,-0.11000000000000032,-0.11000000000000032,0.0,-0.11000000000000032,-0.11000000000000032
-4220,1,-0.7199999999999998,-0.7199999999999998,0.0,-0.7199999999999998,-0.7199999999999998
-4219,1,0.34999999999999987,0.34999999999999987,0.0,0.34999999999999987,0.34999999999999987
-4218,1,0.31000000000000005,0.31000000000000005,0.0,0.31000000000000005,0.31000000000000005
-4217,1,0.5700000000000001,0.5700000000000001,0.0,0.5700000000000001,0.5700000000000001
-4216,1,-0.2999999999999998,-0.2999999999999998,0.0,-0.2999999999999998,-0.2999999999999998
-4215,1,-0.40000000000000013,-0.40000000000000013,0.0,-0.40000000000000013,-0.40000000000000013
-4214,1,-0.48,-0.48,0.0,-0.48,-0.48
-4213,1,0.15999999999999992,0.15999999999999992,0.0,0.15999999999999992,0.15999999999999992
-4212,1,0.28,0.28,0.0,0.28,0.28
-4211,1,0.050000000000000044,0.050000000000000044,0.0,0.050000000000000044,0.050000000000000044
-4210,1,0.029999999999999805,0.029999999999999805,0.0,0.029999999999999805,0.029999999999999805
-4209,1,-0.18999999999999995,-0.18999999999999995,0.0,-0.18999999999999995,-0.18999999999999995
-4208,1,-0.19999999999999996,-0.19999999999999996,0.0,-0.19999999999999996,-0.19999999999999996
-4207,1,0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009
-4206,1,-0.18999999999999995,-0.18999999999999995,0.0,-0.18999999999999995,-0.18999999999999995
-4205,1,-0.17000000000000015,-0.17000000000000015,0.0,-0.17000000000000015,-0.17000000000000015
-4204,1,0.19000000000000017,0.19000000000000017,0.0,0.19000000000000017,0.19000000000000017
-4203,1,0.1499999999999999,0.1499999999999999,0.0,0.1499999999999999,0.1499999999999999
-4202,1,0.020000000000000018,0.020000000000000018,0.0,0.020000000000000018,0.020000000000000018
-4201,1,-0.1299999999999999,-0.1299999999999999,0.0,-0.1299999999999999,-0.1299999999999999
-4200,1,-0.15000000000000013,-0.15000000000000013,0.0,-0.15000000000000013,-0.15000000000000013
-4199,1,0.32000000000000006,0.32000000000000006,0.0,0.32000000000000006,0.32000000000000006
-4198,1,-0.28,-0.28,0.0,-0.28,-0.28
-4197,1,-0.020000000000000018,-0.020000000000000018,0.0,-0.020000000000000018,-0.020000000000000018
-4196,1,0.040000000000000036,0.040000000000000036,0.0,0.040000000000000036,0.040000000000000036
-4195,1,0.10999999999999988,0.10999999999999988,0.0,0.10999999999999988,0.10999999999999988
-4194,1,-0.22999999999999998,-0.22999999999999998,0.0,-0.22999999999999998,-0.22999999999999998
